site_id,state,project_name,n_months,mean_target_diff_mm,mean_control_diff_mm,mean_gap_diff_mm,mean_abs_target_diff_mm,mean_abs_control_diff_mm,mean_abs_gap_diff_mm,rmse_target_diff_mm,rmse_control_diff_mm,rmse_gap_diff_mm
site_008,california,,276,-26.084432896115942,-16.38454298878261,-9.699889907333333,26.29521630843478,17.465335162514496,16.045234389652176,40.31183609549339,30.228802542040537,24.172485998850025
site_055,idaho,,276,-16.304119005434785,-8.155831148188406,-8.148287857246377,17.118365371376807,14.369998742391305,15.962142258695655,20.920643502554466,18.781550031007733,22.08520839780199
site_053,idaho,,276,-1.9342012960003623,-8.155831148188406,6.221629852188043,5.816791542014855,14.369998742391305,15.832427079724273,8.124616996990504,18.781550031007733,20.746270824752774
site_003,california,,276,4.896975463242753,-7.405808572318841,12.302784035561594,9.330652520815217,9.013280955724637,15.676141488858695,21.322416248576783,14.85695590985771,30.475351102975416
site_081,north_dakota,,276,-6.708720379710146,-8.146074047463767,1.437353667753623,14.320050343478261,14.773366569202897,15.406827059782607,20.380298483336958,19.570049318824495,24.489341407155873
site_130,utah,,276,3.0439097335869563,-5.411861720108695,8.455771453695652,11.606790565905797,11.198957601268114,15.172543328115939,17.115128091202255,14.971324582024273,23.077588600537958
site_056,idaho,,276,4.659432658695652,-8.155831148188406,12.815263806884058,12.663182580434784,14.369998742391305,14.885894705434781,17.254486747841828,18.781550031007733,19.215859934972226
site_015,california,,276,-11.124168249044928,-16.38454298878261,5.260374739737681,14.807281219914493,17.465335162514496,14.839207824936231,23.653842014560684,30.228802542040537,25.400471411671028
site_075,north_dakota,,276,-8.791044234782609,-8.146074047463767,-0.6449701873188406,15.312890626086956,14.773366569202897,14.698689050362319,20.358399364085965,19.570049318824495,23.08803157258474
site_018,california,Upper Tuolumne River Weather Modification Project,276,-6.125785304365942,-16.38454298878261,10.258757684416667,9.706615362481886,17.465335162514496,14.55824260971377,17.63610833493437,30.228802542040537,26.075898812252536
site_048,idaho,,276,-5.671087449304348,-17.71406830688406,12.04298085757971,9.531162717,17.919893057608697,14.411148224971015,12.84440583462532,21.059405988311937,18.40755500123133
site_026,california,,276,-18.565853641195652,-16.38454298878261,-2.1813106524130434,20.644470266775365,17.465335162514496,14.220580780239132,29.5829579589193,30.228802542040537,21.916249424065953
site_132,utah,,276,0.7837225797101449,-5.411861720108695,6.195584299818841,9.16003478478261,11.198957601268114,14.210283044384058,12.091720448304041,14.971324582024273,19.86124948431637
site_120,utah,,276,4.752277345036231,-5.411861720108695,10.164139065144928,9.42882834771739,11.198957601268114,14.188053614202897,12.862934140033925,14.971324582024273,19.264163609532435
site_115,texas,PGCD Weather Modification Program,276,5.226772729891196,5.057759761231847,0.16901296865934817,16.95483242300736,17.090438417029024,14.12309541503616,28.851991204068277,24.616536373679192,21.075830192490187
site_011,california,,276,-11.217504413297103,-16.38454298878261,5.167038575485507,12.971365768369566,17.465335162514496,13.710004460166667,21.545372747297876,30.228802542040537,22.516700555163407
site_080,north_dakota,,276,-4.244447721376812,-8.146074047463767,3.901626326086957,13.256195086594204,14.773366569202897,13.579494676811596,18.980837209180283,19.570049318824495,21.969095837514715
site_079,north_dakota,,276,-3.832614748913043,-8.146074047463767,4.313459298550725,13.63008339673913,14.773366569202897,13.242145037681158,19.390877257500524,19.570049318824495,22.166132037279016
site_047,idaho,,276,-9.87944709057971,-8.155831148188406,-1.7236159423913042,11.356160277536231,14.369998742391305,13.21240668804348,14.453444527014295,18.781550031007733,17.974791999622788
